id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,datefloat,renovated,bath_per_bed,skinniness,dist
7129300520,10/13/2014,221900.0,3,1.0,1180,5650,1.0,0,0.0,3,7,1180,0.0,1955,1955,98178,47.5112,-122.257,1340,5650,16356.0,0,0.3333333333333333,1180.0,0.15416389218543886
6414100192,12/09/2014,538000.0,3,2.25,2570,7242,2.0,0,0.0,3,7,2170,400.0,1951,1991,98125,47.721000000000004,-122.319,1690,7639,16413.0,1,0.75,1285.0,0.16164220324525758
5631500400,02/25/2015,180000.0,2,1.0,770,10000,1.0,0,0.0,3,6,770,0.0,1933,1933,98028,47.7379,-122.23299999999999,2720,8062,16491.0,0,0.5,770.0,0.10987250094802008
2487200875,12/09/2014,604000.0,4,3.0,1960,5000,1.0,0,0.0,5,7,1050,910.0,1965,1965,98136,47.5208,-122.39299999999999,1360,5000,16413.0,0,0.75,1960.0,0.24797674199948289
1954400510,02/18/2015,510000.0,3,2.0,1680,8080,1.0,0,0.0,3,8,1680,0.0,1987,1987,98074,47.6168,-122.045,1800,7503,16484.0,0,0.6666666666666666,1680.0,0.13492792762715858
7237550310,05/12/2014,1230000.0,4,4.5,5420,101930,1.0,0,0.0,3,11,3890,1530.0,2001,2001,98053,47.6561,-122.005,4760,101930,16202.0,0,1.125,5420.0,0.1728081047265041
1321400060,06/27/2014,257500.0,3,2.25,1715,6819,2.0,0,0.0,3,7,1715,342.3315814212658,1995,1995,98003,47.3097,-122.32700000000001,2238,6819,16248.0,0,0.75,857.5,0.3655278877662418
2008000270,01/15/2015,291850.0,3,1.5,1060,9711,1.0,0,0.23386272870808952,3,7,1060,0.0,1963,1963,98198,47.4095,-122.315,1650,9711,16450.0,0,0.5,1060.0,0.27121979314626704
2414600126,04/15/2015,229500.0,3,1.0,1780,7470,1.0,0,0.0,3,7,1050,730.0,1960,1960,98146,47.5123,-122.337,1780,8113,16540.0,0,0.3333333333333333,1780.0,0.206459369681883
3793500160,03/12/2015,323000.0,3,2.5,1890,6560,2.0,0,0.0,3,7,1890,0.0,2003,2003,98038,47.3684,-122.031,2390,7570,16506.0,0,0.8333333333333334,945.0,0.3113100787209077
1736800520,04/03/2015,662500.0,3,2.5,3560,9796,1.0,0,0.0,3,8,1860,1700.0,1965,1965,98007,47.6007,-122.145,2210,8925,16528.0,0,0.8333333333333334,3560.0,0.053378596578408086
